gene;identifier;mycobrowser_url
bacA;Rv1819c;https://mycobrowser.epfl.ch/genes/Rv1819c
ccsA;Rv0529;https://mycobrowser.epfl.ch/genes/Rv0529
eis;Rv2416c;https://mycobrowser.epfl.ch/genes/Rv2416c
rrs;MTB000019;https://mycobrowser.epfl.ch/genes/MTB000019
Rv2477c;Rv2477c;https://mycobrowser.epfl.ch/genes/Rv2477c
whiB6;Rv3862c;https://mycobrowser.epfl.ch/genes/Rv3862c
whiB7;Rv3197A;https://mycobrowser.epfl.ch/genes/Rv3197A
atpE;Rv1305;https://mycobrowser.epfl.ch/genes/Rv1305
lpqB;Rv3244c;https://mycobrowser.epfl.ch/genes/Rv3244c
mmpL5;Rv0676c;https://mycobrowser.epfl.ch/genes/Rv0676c
mmpS5;Rv0677c;https://mycobrowser.epfl.ch/genes/Rv0677c
mtrA;Rv3246c;https://mycobrowser.epfl.ch/genes/Rv3246c
mtrB;Rv3245c;https://mycobrowser.epfl.ch/genes/Rv3245c
pepQ;Rv2535c;https://mycobrowser.epfl.ch/genes/Rv2535c
Rv0678;Rv0678;https://mycobrowser.epfl.ch/genes/Rv0678
Rv1979c;Rv1979c;https://mycobrowser.epfl.ch/genes/Rv1979c
rrl;MTB000020;https://mycobrowser.epfl.ch/genes/MTB000020
Rv2680;Rv2680;https://mycobrowser.epfl.ch/genes/Rv2680
Rv2681;Rv2681;https://mycobrowser.epfl.ch/genes/Rv2681
tlyA;Rv1694;https://mycobrowser.epfl.ch/genes/Rv1694
fbiA;Rv3261;https://mycobrowser.epfl.ch/genes/Rv3261
fbiB;Rv3262;https://mycobrowser.epfl.ch/genes/Rv3262
fbiC;Rv1173;https://mycobrowser.epfl.ch/genes/Rv1173
fgd1;Rv0407;https://mycobrowser.epfl.ch/genes/Rv0407
Rv2983;Rv2983;https://mycobrowser.epfl.ch/genes/Rv2983
ddn;Rv3547;https://mycobrowser.epfl.ch/genes/Rv3547
ndh;Rv1854c;https://mycobrowser.epfl.ch/genes/Rv1854c
aftB;Rv3805c;https://mycobrowser.epfl.ch/genes/Rv3805c
embA;Rv3794;https://mycobrowser.epfl.ch/genes/Rv3794
embB;Rv3795;https://mycobrowser.epfl.ch/genes/Rv3795
embC;Rv3793;https://mycobrowser.epfl.ch/genes/Rv3793
embR;Rv1267c;https://mycobrowser.epfl.ch/genes/Rv1267c
glpK;Rv3696c;https://mycobrowser.epfl.ch/genes/Rv3696c
Rv2752c;Rv2752c;https://mycobrowser.epfl.ch/genes/Rv2752c
ubiA;Rv3806c;https://mycobrowser.epfl.ch/genes/Rv3806c
ethA;Rv3854c;https://mycobrowser.epfl.ch/genes/Rv3854c
ethR;Rv3855;https://mycobrowser.epfl.ch/genes/Rv3855
inhA;Rv1484;https://mycobrowser.epfl.ch/genes/Rv1484
mshA;Rv0486;https://mycobrowser.epfl.ch/genes/Rv0486
Rv0565c;Rv0565c;https://mycobrowser.epfl.ch/genes/Rv0565c
Rv3083;Rv3083;https://mycobrowser.epfl.ch/genes/Rv3083
ahpC;Rv2428;https://mycobrowser.epfl.ch/genes/Rv2428
dnaA;Rv0001;https://mycobrowser.epfl.ch/genes/Rv0001
hadA;Rv0635;https://mycobrowser.epfl.ch/genes/Rv0635
katG;Rv1908c;https://mycobrowser.epfl.ch/genes/Rv1908c
Rv0010c;Rv0010c;https://mycobrowser.epfl.ch/genes/Rv0010c
Rv1129c;Rv1129c;https://mycobrowser.epfl.ch/genes/Rv1129c
Rv1258c;Rv1258c;https://mycobrowser.epfl.ch/genes/Rv1258c
gyrA;Rv0006;https://mycobrowser.epfl.ch/genes/Rv0006
gyrB;Rv0005;https://mycobrowser.epfl.ch/genes/Rv0005
rplC;Rv0701;https://mycobrowser.epfl.ch/genes/Rv0701
tsnR;Rv1644;https://mycobrowser.epfl.ch/genes/Rv1644
clpC1;Rv3596c;https://mycobrowser.epfl.ch/genes/Rv3596c
panD;Rv3601c;https://mycobrowser.epfl.ch/genes/Rv3601c
pncA;Rv2043c;https://mycobrowser.epfl.ch/genes/Rv2043c
PPE35;Rv1918c;https://mycobrowser.epfl.ch/genes/Rv1918c
rpsA;Rv1630;https://mycobrowser.epfl.ch/genes/Rv1630
Rv3236c;Rv3236c;https://mycobrowser.epfl.ch/genes/Rv3236c
sigE;Rv1221;https://mycobrowser.epfl.ch/genes/Rv1221
nusG;Rv0639;https://mycobrowser.epfl.ch/genes/Rv0639
rpoA;Rv3457c;https://mycobrowser.epfl.ch/genes/Rv3457c
rpoB;Rv0667;https://mycobrowser.epfl.ch/genes/Rv0667
rpoC;Rv0668;https://mycobrowser.epfl.ch/genes/Rv0668
gid;Rv3919c;https://mycobrowser.epfl.ch/genes/Rv3919c
rpsL;Rv0682;https://mycobrowser.epfl.ch/genes/Rv0682
